Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,243.34,243.98,243.12,243.21,49480171,243.21
2017-06-05,243.97,244.3,243.76,243.99,44698825,243.99
2017-06-02,243.42,244.35,243.08,244.17,88666128,244.17
2017-06-01,241.97,243.38,241.64,243.36,68962024,243.36
2017-05-31,241.84,241.88,240.64,241.44,91796016,241.44
2017-05-30,241.34,241.79,241.16,241.5,35201897,241.5
2017-05-26,241.54,241.9,241.45,241.71,46629905,241.71
2017-05-25,241.2,242.08,240.96,241.76,64071661,241.76
2017-05-24,240.32,240.73,239.93,240.61,49181099,240.61
2017-05-23,239.95,240.24,239.51,240.05,48341683,240.05
2017-05-22,238.9,239.71,238.82,239.52,61010602,239.52
2017-05-19,237.33,239.08,237.27,238.31,115011373,238.31
2017-05-18,235.73,237.75,235.43,236.77,107047656,236.77
2017-05-17,238.1,238.64,235.75,235.82,172174107,235.82
2017-05-16,240.64,240.67,239.63,240.08,51241791,240.08
2017-05-15,239.47,240.44,239.45,240.3,61918937,240.3
2017-05-12,239.09,239.43,238.67,238.98,53912730,238.98
2017-05-11,239.35,239.57,238.13,239.38,62358346,239.38
2017-05-10,239.39,239.87,239.15,239.87,54293799,239.87
2017-05-09,239.96,240.19,239.04,239.44,51363200,239.44
2017-05-08,239.75,239.92,239.17,239.66,48385730,239.66
2017-05-05,239.19,239.72,238.68,239.7,62001269,239.7
2017-05-04,238.83,238.92,237.78,238.76,61462732,238.76
2017-05-03,238.29,238.88,237.7,238.48,73137731,238.48
2017-05-02,238.84,238.98,238.3,238.77,57375732,238.77
2017-05-01,238.68,239.17,238.2,238.68,66882521,238.68
2017-04-28,238.9,238.93,237.93,238.08,63532845,238.08
2017-04-27,238.77,238.95,237.98,238.6,57410326,238.6
2017-04-26,238.51,239.53,238.35,238.4,84702455,238.4
2017-04-25,237.91,238.95,237.81,238.55,76698265,238.55
2017-04-24,237.18,237.41,234.56,237.17,119209877,237.17
2017-04-21,235.25,235.31,234.13,234.59,110389847,234.59
2017-04-20,234.15,235.84,233.78,235.34,92572186,235.34
2017-04-19,234.52,234.95,233.18,233.44,68699868,233.44
2017-04-18,233.72,234.49,233.08,233.87,83225821,233.87
2017-04-17,233.11,234.57,232.88,234.57,68405367,234.57
2017-04-13,233.64,234.49,232.51,232.51,92880394,232.51
2017-04-12,234.74,234.96,233.77,234.03,81864436,234.03
2017-04-11,234.9,235.18,233.34,235.06,88045276,235.06
2017-04-10,235.36,236.26,234.73,235.34,67615302,235.34
2017-04-07,235.15,236.0,234.64,235.2,74412311,235.2
2017-04-06,234.94,236.04,234.42,235.44,69135757,235.44
2017-04-05,236.26,237.39,234.54,234.78,108800604,234.78
2017-04-04,234.95,235.58,234.56,235.48,56466195,235.48
2017-04-03,235.8,236.03,233.91,235.33,85546486,235.33
2017-03-31,235.9,236.51,235.68,235.74,73733094,235.74
2017-03-30,235.47,236.52,235.27,236.29,56737890,236.29
2017-03-29,234.99,235.81,234.72,235.54,61950354,235.54
2017-03-28,233.27,235.81,233.14,235.32,93483915,235.32
2017-03-27,231.93,233.92,231.61,233.62,87454452,233.62
2017-03-24,234.38,235.04,232.96,233.86,112504853,233.86
2017-03-23,234.0,235.34,233.6,234.03,100410277,234.03
2017-03-22,233.77,234.61,233.05,234.28,97569204,234.28
2017-03-21,237.47,237.61,233.58,233.73,131809275,233.73
2017-03-20,237.03,237.36,236.32,236.77,52536979,236.77
2017-03-17,237.75,237.97,237.03,237.03,89002111,237.03
2017-03-16,239.11,239.2,238.1,238.48,78343951,238.48
2017-03-15,237.56,239.44,237.29,238.95,96081750,238.95
2017-03-14,237.18,237.24,236.19,236.9,59880778,236.9
2017-03-13,237.62,237.86,237.24,237.81,57256824,237.81
2017-03-10,237.97,238.02,236.59,237.69,81991652,237.69
2017-03-09,236.7,237.24,235.74,236.86,90683918,236.86
2017-03-08,237.34,237.64,236.4,236.56,78168795,236.56
2017-03-07,237.36,237.77,236.76,237.0,65103737,237.0
2017-03-06,237.5,238.12,237.01,237.71,55391533,237.71
2017-03-03,238.17,238.61,237.73,238.42,81974300,238.42
2017-03-02,239.56,239.57,238.21,238.27,70245978,238.27
2017-03-01,238.39,240.32,238.37,239.78,149158170,239.78
2017-02-28,236.67,236.95,236.02,236.47,96961938,236.47
2017-02-27,236.64,237.31,236.35,237.11,56515440,237.11
2017-02-24,235.46,236.79,235.41,236.74,82381612,236.74
2017-02-23,236.88,236.9,235.56,236.44,74615902,236.44
2017-02-22,236.02,236.54,235.83,236.28,62115185,236.28
2017-02-21,235.52,236.69,235.51,236.49,88946051,236.49
2017-02-17,233.95,235.09,233.93,235.09,77204104,235.09
2017-02-16,234.95,235.16,233.85,234.72,84722437,234.72
2017-02-15,233.45,235.14,233.39,234.92,86785826,234.92
2017-02-14,232.56,233.71,232.16,233.7,71108983,233.7
2017-02-13,232.08,233.07,232.05,232.77,55182050,232.77
2017-02-10,231.0,231.77,230.62,231.51,66015892,231.51
2017-02-09,229.56,230.95,229.52,230.6,65955245,230.6
2017-02-08,228.61,229.39,228.31,229.24,51566218,229.24
2017-02-07,229.38,229.66,228.72,228.94,57931151,228.94
2017-02-06,228.87,229.33,228.54,228.93,57790108,228.93
2017-02-03,228.82,229.55,228.46,229.34,80563168,229.34
2017-02-02,227.2,228.1,226.82,227.77,69657560,227.77
2017-02-01,228.26,228.59,226.94,227.62,79117651,227.62
2017-01-31,226.98,227.6,226.32,227.53,75880805,227.53
2017-01-30,228.17,228.2,226.41,227.55,79737252,227.55
2017-01-27,229.42,229.59,228.76,228.97,59711118,228.97
2017-01-26,229.4,229.71,229.01,229.33,59970719,229.33
2017-01-25,228.7,229.57,228.51,229.57,84437712,229.57
2017-01-24,226.4,228.08,226.27,227.6,95555295,227.6
2017-01-23,226.35,226.8,225.27,226.15,75061645,226.15
2017-01-20,226.7,227.31,225.97,226.74,129168623,226.74
2017-01-19,226.84,227.0,225.41,225.91,66608787,225.91
2017-01-18,226.54,226.8,225.9,226.75,54793302,226.75
2017-01-17,226.31,226.78,225.8,226.25,61240814,226.25
2017-01-13,226.73,227.4,226.69,227.05,62717865,227.05
2017-01-12,226.5,226.75,224.96,226.53,72113181,226.53
2017-01-11,226.36,227.1,225.59,227.1,74650016,227.1
2017-01-10,226.48,227.45,226.01,226.46,63771939,226.46
2017-01-09,226.91,227.07,226.42,226.46,46939676,226.46
2017-01-06,226.53,227.75,225.9,227.21,71559922,227.21
2017-01-05,226.27,226.58,225.48,226.4,78379012,226.4
2017-01-04,225.62,226.75,225.61,226.58,78744433,226.58
2017-01-03,225.04,225.83,223.88,225.24,91366522,225.24
